日期,渠道,H5id,全部客户,偷子,临时客户,加微客户,加微率,填写问卷人数,填写问卷率,导学课到课人数,导学课到课率,导学课完课人数,导学课完课率,转化人数,正价转化率,GMV,结算cac,ROI
6.1-6.7,花骡直播,192,40,,5,35,0.88 ,30,0.75 ,18,0.45 ,17,0.43 ,6,0.15 ,15860,,GMV/CAC*全部客户
,,223,22,,1,21,0.95 ,11,0.50 ,8,0.36 ,4,0.18 ,0,0.00 ,0,,
,,汇总,62,,6,56,0.90 ,41,0.66 ,26,0.42 ,21,0.34 ,6,0.10 ,15860,,
,TMK短信,309-衢州耀晨,64,,10,54,0.84 ,20,0.31 ,17,0.27 ,15,0.23 ,1,0.02 ,1980,,
,,323-杭州乐喻,203,,3,200,0.99 ,88,0.43 ,73,0.36 ,51,0.25 ,3,0.01 ,9920,,
,,328-衢州耀晨,67,,5,62,0.93 ,18,0.27 ,14,0.21 ,9,0.13 ,0,0.00 ,0,,
,,329-衢州耀晨,68,,1,67,0.99 ,24,0.35 ,33,0.49 ,20,0.29 ,0,0.00 ,0,,
,,330-衢州耀晨,69,,6,63,0.91 ,21,0.30 ,13,0.19 ,11,0.16 ,1,0.01 ,1980,,
,,380-祥峰丰-短信,14,,3,11,0.79 ,1,0.07 ,5,0.36 ,5,0.36 ,0,0.00 ,0,,
,,349-临沂商通,1,,0,1,1.00 ,1,1.00 ,1,1.00 ,1,1.00 ,0,0.00 ,0,,
,,汇总,486,,28,458,0.94 ,173,0.36 ,156,0.32 ,112,0.23 ,5,0.01 ,0,,
,SDK聚合,176,4,,1,3,0.75 ,2,0.50 ,2,0.50 ,2,0.50 ,0,0.00 ,0,,
,,汇总,4,,1,3,0.75 ,2,0.50 ,2,0.50 ,2,0.50 ,0,0.00 ,0,,
,私域,69-太极养生,115,,44,71,0.62 ,59,0.51 ,21,0.18 ,18,0.16 ,0,0.00 ,0,,
,,70-太极养生,79,,21,58,0.73 ,51,0.65 ,19,0.24 ,9,0.11 ,0,0.00 ,0,,
,,汇总,194,,65,129,0.66 ,110,0.57 ,40,0.21 ,27,0.14 ,0,0.00 ,0,,
6.8-6.14,花骡直播,162,2,,0,2,1.00 ,1,0.50 ,1,0.50 ,1,0.50 ,0,0.00 ,0,,
,,192,72,,1,71,0.99 ,37,0.51 ,39,0.54 ,30,0.42 ,8,0.11 ,23800,,
,,222,3,,0,3,1.00 ,3,1.00 ,2,0.67 ,0,0.00 ,0,0.00 ,0,,
,,223,31,,0,31,1.00 ,19,0.61 ,13,0.42 ,10,0.32 ,1,0.03 ,1980,,
,,汇总,108,,1,107,0.99 ,60,0.56 ,55,0.51 ,41,0.38 ,9,0.08 ,25780,,
,TMK短信,309-衢州耀晨,46,,19,27,0.59 ,44,0.96 ,28,0.61 ,21,0.46 ,0,0.00 ,0,,
,,323-杭州乐喻,67,,10,57,0.85 ,25,0.37 ,10,0.15 ,8,0.12 ,0,0.00 ,0,,
,,328-衢州耀晨,3,,0,3,1.00 ,1,0.33 ,2,0.67 ,1,0.33 ,0,0.00 ,0,,
,,329-衢州耀晨,12,,2,10,0.83 ,0,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,0,,
,,330-衢州耀晨,19,,0,19,1.00 ,4,0.21 ,3,0.16 ,3,0.16 ,0,0.00 ,0,,
,,348-临沂商通,93,,0,93,1.00 ,33,0.35 ,38,0.41 ,28,0.30 ,1,0.01 ,1980,,
,,349-临沂商通,57,,0,57,1.00 ,15,0.26 ,21,0.37 ,18,0.32 ,0,0.00 ,0,,
,,350-临沂商通,39,,0,39,1.00 ,7,0.18 ,9,0.23 ,6,0.15 ,0,0.00 ,0,,
,,351-临沂商通,27,,0,27,1.00 ,7,0.26 ,7,0.26 ,6,0.22 ,0,0.00 ,0,,
,,汇总,363,,31,332,0.91 ,136,0.37 ,118,0.33 ,91,0.25 ,1,0.00 ,1980,,
,SDK聚合,176,2,,1,1,0.50 ,0,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,0,,
,,汇总,2,,1,1,0.50 ,0,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,0,,
,私域,69-太极养生,83,,32,51,0.61 ,36,0.43 ,20,0.24 ,14,0.17 ,0,0.00 ,0,,
,,70-太极养生,84,,27,57,0.68 ,52,0.62 ,27,0.32 ,20,0.24 ,1,0.01 ,999,,
,,汇总,167,,59,108,0.65 ,88,0.53 ,47,0.28 ,34,0.20 ,1,0.01 ,999,,
6.15-6.21,花骡直播,162,1,,0,1,1.00 ,0,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,0,,
,,192,100,,29,71,0.71 ,55,0.55 ,35,0.35 ,25,0.25 ,4,0.04 ,7920,,
,,222,10,,0,10,1.00 ,5,0.50 ,6,0.60 ,6,0.60 ,1,0.10 ,1980,,
,,223,51,,0,51,1.00 ,24,0.47 ,18,0.35 ,10,0.20 ,0,0.00 ,0,,
,,286,1,,0,1,1.00 ,1,1.00 ,1,1.00 ,0,0.00 ,0,0.00 ,0,,
,,汇总,163,,29,134,0.82 ,85,0.52 ,60,0.37 ,41,0.25 ,5,0.03 ,9900,,
,TMK短信,309-衢州耀晨,31,,18,13,0.42 ,31,1.00 ,23,0.74 ,19,0.61 ,0,0.00 ,0,,
,,323-杭州乐喻,73,,21,52,0.71 ,33,0.45 ,22,0.30 ,19,0.26 ,0,0.00 ,0,,
,,328-衢州耀晨,1,,1,0,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,0,,
,,329-衢州耀晨,1,,1,0,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,0,,
,,330-衢州耀晨,1,,0,1,1.00 ,1,1.00 ,0,0.00 ,0,0.00 ,0,0.00 ,0,,
