日期,渠道,H5id,全部客户,偷子,临时客户,加微客户,加微率,填写问卷人数,填写问卷率,导学课到课人数,导学课到课率,导学课完课人数,导学课完课率,转化人数,正价转化率,GMV,结算cac,ROI
6.1-6.7,花骡直播,192,40,,5,35,87.50%,30,75.00%,18,45.00%,17,42.50%,6,15.00%,15860,,GMV/CAC*全部客户
,,223,22,,1,21,95.45%,11,50.00%,8,36.36%,4,18.18%,0,0.00%,0,,
,,汇总,62,,6,56,90.32%,41,66.13%,26,41.94%,21,33.87%,6,9.68%,15860,,
,TMK短信,309-衢州耀晨,64,,10,54,84.38%,20,31.25%,17,26.56%,15,23.44%,1,1.56%,1980,,
,,323-杭州乐喻,203,,3,200,98.52%,88,43.35%,73,35.96%,51,25.12%,3,1.48%,9920,,
,,328-衢州耀晨,67,,5,62,92.54%,18,26.87%,14,20.90%,9,13.43%,0,0.00%,0,,
,,329-衢州耀晨,68,,1,67,98.53%,24,35.29%,33,48.53%,20,29.41%,0,0.00%,0,,
,,330-衢州耀晨,69,,6,63,91.30%,21,30.43%,13,18.84%,11,15.94%,1,1.45%,1980,,
,,380-祥峰丰-短信,14,,3,11,78.57%,1,7.14%,5,35.71%,5,35.71%,0,0.00%,0,,
,,349-临沂商通,1,,0,1,100.00%,1,100.00%,1,100.00%,1,100.00%,0,0.00%,0,,
,,汇总,486,,28,458,94.24%,173,35.60%,156,32.10%,112,23.05%,5,1.03%,0,,
,SDK聚合,176,4,,1,3,75.00%,2,50.00%,2,50.00%,2,50.00%,0,0.00%,0,,
,,汇总,4,,1,3,75.00%,2,50.00%,2,50.00%,2,50.00%,0,0.00%,0,,
,私域,69-太极养生,115,,44,71,61.74%,59,51.30%,21,18.26%,18,15.65%,0,0.00%,0,,
,,70-太极养生,79,,21,58,73.42%,51,64.56%,19,24.05%,9,11.39%,0,0.00%,0,,
,,汇总,194,,65,129,66.49%,110,56.70%,40,20.62%,27,13.92%,0,0.00%,0,,
6.8-6.14,花骡直播,162,2,,0,2,100.00%,1,50.00%,1,50.00%,1,50.00%,0,0.00%,0,,
,,192,72,,1,71,98.61%,37,51.39%,39,54.17%,30,41.67%,8,11.11%,23800,,
,,222,3,,0,3,100.00%,3,100.00%,2,66.67%,0,0.00%,0,0.00%,0,,
,,223,31,,0,31,100.00%,19,61.29%,13,41.94%,10,32.26%,1,3.23%,1980,,
,,汇总,108,,1,107,99.07%,60,55.56%,55,50.93%,41,37.96%,9,8.33%,25780,,
,TMK短信,309-衢州耀晨,46,,19,27,58.70%,44,95.65%,28,60.87%,21,45.65%,0,0.00%,0,,
,,323-杭州乐喻,67,,10,57,85.07%,25,37.31%,10,14.93%,8,11.94%,0,0.00%,0,,
,,328-衢州耀晨,3,,0,3,100.00%,1,33.33%,2,66.67%,1,33.33%,0,0.00%,0,,
,,329-衢州耀晨,12,,2,10,83.33%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,,
,,330-衢州耀晨,19,,0,19,100.00%,4,21.05%,3,15.79%,3,15.79%,0,0.00%,0,,
,,348-临沂商通,93,,0,93,100.00%,33,35.48%,38,40.86%,28,30.11%,1,1.08%,1980,,
,,349-临沂商通,57,,0,57,100.00%,15,26.32%,21,36.84%,18,31.58%,0,0.00%,0,,
,,350-临沂商通,39,,0,39,100.00%,7,17.95%,9,23.08%,6,15.38%,0,0.00%,0,,
,,351-临沂商通,27,,0,27,100.00%,7,25.93%,7,25.93%,6,22.22%,0,0.00%,0,,
,,汇总,363,,31,332,91.46%,136,37.47%,118,32.51%,91,25.07%,1,0.28%,1980,,
,SDK聚合,176,2,,1,1,50.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,,
,,汇总,2,,1,1,50.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,,
,私域,69-太极养生,83,,32,51,61.45%,36,43.37%,20,24.10%,14,16.87%,0,0.00%,0,,
,,70-太极养生,84,,27,57,67.86%,52,61.90%,27,32.14%,20,23.81%,1,1.19%,999,,
,,汇总,167,,59,108,64.67%,88,52.69%,47,28.14%,34,20.36%,1,0.60%,999,,
6.15-6.21,花骡直播,162,1,,0,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,,
,,192,100,,29,71,71.00%,55,55.00%,35,35.00%,25,25.00%,4,4.00%,7920,,
,,222,10,,0,10,100.00%,5,50.00%,6,60.00%,6,60.00%,1,10.00%,1980,,
,,223,51,,0,51,100.00%,24,47.06%,18,35.29%,10,19.61%,0,0.00%,0,,
,,286,1,,0,1,100.00%,1,100.00%,1,100.00%,0,0.00%,0,0.00%,0,,
,,汇总,163,,29,134,82.21%,85,52.15%,60,36.81%,41,25.15%,5,3.07%,9900,,
,TMK短信,309-衢州耀晨,31,,18,13,41.94%,31,100.00%,23,74.19%,19,61.29%,0,0.00%,0,,
,,323-杭州乐喻,73,,21,52,71.23%,33,45.21%,22,30.14%,19,26.03%,0,0.00%,0,,
,,328-衢州耀晨,1,,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,,
,,329-衢州耀晨,1,,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,,
,,330-衢州耀晨,1,,0,1,100.00%,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,,
,,汇总,107,,41,66,61.68%,65,60.75%,45,42.06%,38,35.51%,0,0.00%,0,,
,SDK聚合,176,3,,0,3,100.00%,1,33.33%,2,66.67%,2,66.67%,0,0.00%,0,,
,,汇总,3,,0,3,100.00%,1,33.33%,2,66.67%,2,66.67%,0,0.00%,0,,
,私域,69-太极养生,188,,72,116,61.70%,91,48.40%,54,28.72%,44,23.40%,0,0.00%,0,,
